"init_tprime";"init_t";"init_p";"seed";"nm";"nf";"dm";"df";"base_surv";"base_mort";"a";"cp";"cs";"k";"fl";"fh";"control_p";"control_t";"control_tprime";"mu_t";"mu_p";"mu_tprime";"sdmu_t";"sdmu_p";"sdmu_tprime";"generation";"t";"p";"tprime";"var_t";"var_p";"var_tprime";"file"
0.01;0.01;0.2;4072595039;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00298583;0.0265402;0.000872625;0.000539141;0.000411461;0.000992369;"./output_17.csv"
0.01;0.01;0.2;2731797434;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.000341662;0.0294969;-0.00250314;0.000684;0.000377502;0.000978984;"./output_18.csv"
0.01;0.01;0.2;3771901915;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00734652;0.0492187;0.00845359;0.000509659;-0.000345083;0.00138351;"./output_19.csv"
0.01;0.01;0.2;3298782641;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.000199883;0.0252548;0.00906866;0.000487703;0.000336616;0.00100319;"./output_2.csv"
0.01;0.01;0.2;4212730874;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.000919575;0.0235032;-0.00102892;0.00069326;0.000309737;0.00126284;"./output_20.csv"
0.01;0.01;0.2;1889856680;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00436647;0.0190952;0.0104783;0.000792973;0.000571175;0.000901726;"./output_21.csv"
0.01;0.01;0.2;3012868412;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00260209;0.0142728;0.0082367;0.000412995;0.000682145;0.00106233;"./output_22.csv"
0.01;0.01;0.2;1357759581;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00198495;0.0215824;-0.00462322;0.000795576;0.00061269;0.000872023;"./output_23.csv"
0.01;0.01;0.2;1327614167;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00512493;0.0167487;0.0037385;0.000567228;0.000536918;0.000608401;"./output_24.csv"
0.01;0.01;0.2;138397123;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00447196;0.0192472;0.00154946;0.000530379;0.000558776;0.000768277;"./output_25.csv"
0.01;0.01;0.2;1253170783;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.000426493;0.0338577;-0.000356462;0.000493276;0.000228488;0.00122756;"./output_26.csv"
0.01;0.01;0.2;326127281;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.000139123;0.0356321;0.00537704;0.000445255;0.00056862;0.00093726;"./output_27.csv"
0.01;0.01;0.2;2656977598;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00200015;0.0165942;0.00876702;0.00059673;0.000761245;0.000688779;"./output_28.csv"
0.01;0.01;0.2;1533871149;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.0051355;0.0413039;0.00888335;0.000589451;-0.000218097;0.000756743;"./output_29.csv"
0.01;0.01;0.2;736607135;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.000234279;0.00852676;0.00460165;0.000303279;0.000847761;0.000976174;"./output_3.csv"
0.01;0.01;0.2;2841776742;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00520175;0.0269285;0.00331419;0.000510168;0.000410686;0.000813073;"./output_30.csv"
0.01;0.01;0.2;782950047;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00704992;-0.000766395;0.0101155;0.000680806;0.00112548;0.000903997;"./output_31.csv"
0.01;0.01;0.2;2796326022;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00776805;0.0215924;-0.00244529;0.000561846;0.000418943;0.000865892;"./output_32.csv"
0.01;0.01;0.2;4015325967;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00311019;0.00954802;0.00417067;0.000595675;0.00124606;0.000642406;"./output_33.csv"
0.01;0.01;0.2;436747262;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00980175;0.0404403;4.44814e-05;0.00038568;9.64519e-06;0.00109222;"./output_34.csv"
0.01;0.01;0.2;2927105643;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00263333;0.0223877;0.00218251;0.00058697;0.000633624;0.000775853;"./output_35.csv"
0.01;0.01;0.2;3617427167;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00517861;0.0293703;0.000226827;0.000564697;0.000524353;0.000956836;"./output_36.csv"
0.01;0.01;0.2;4128303679;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00989962;0.0444673;0.00529628;0.000486431;-0.000438419;0.000769452;"./output_37.csv"
0.01;0.01;0.2;3354197719;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-5.53971e-05;0.0197948;0.0177404;0.000485511;0.000777768;0.000516469;"./output_38.csv"
0.01;0.01;0.2;819833322;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00552058;0.0188347;0.0109246;0.000735599;0.00079482;0.00123221;"./output_39.csv"
0.01;0.01;0.2;3667651886;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00107294;0.0252114;0.00403853;0.000327804;0.000397867;0.00100275;"./output_4.csv"
0.01;0.01;0.2;3699662162;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00178908;0.0272818;0.00436137;0.000587132;0.000593599;0.000634849;"./output_40.csv"
0.01;0.01;0.2;993886617;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00244761;0.0249545;-0.00873527;0.00064379;0.000860316;0.00079514;"./output_41.csv"
